Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
Run_TF_2_BW,Default tag table,Bool,%M12.1,Trigger Run BW Tranfer 2,True,True,True,,
Edge_28,Default tag table,Bool,%M12.2,Temp 28,True,True,True,,
Edge_29,Default tag table,Bool,%M12.3,Temp 29,True,True,True,,
Jog_Lift_1_FW,Default tag table,Bool,%M12.4,Trigger Jog Lift 1 FW,True,True,True,,
Edge_30,Default tag table,Bool,%M12.5,Temp 30,True,True,True,,
Edge_31,Default tag table,Bool,%M12.6,Temp 31,True,True,True,,
Jog_Lift_1_BW,Default tag table,Bool,%M12.7,Trgger Jog Lift 1 BW,True,True,True,,
Edge_32,Default tag table,Bool,%M13.0,Temp 32,True,True,True,,
Edge_33,Default tag table,Bool,%M13.1,Temp 33,True,True,True,,
Run_Lift_1_FW,Default tag table,Bool,%M13.2,Trigger Run Lift 1 FW,True,True,True,,
Edge_34,Default tag table,Bool,%M13.3,Temp 34,True,True,True,,
Edge_35,Default tag table,Bool,%M13.4,Temp 35,True,True,True,,
Run_Lift_1_BW,Default tag table,Bool,%M13.5,Trigger Run Lift 1 BW,True,True,True,,
Edge_36,Default tag table,Bool,%M13.6,Temp 36,True,True,True,,
Edge_37,Default tag table,Bool,%M13.7,Temp 37,True,True,True,,
Jog_Lift_2_FW,Default tag table,Bool,%M14.0,Trigger Jog Lifft 2 FW,True,True,True,,
Edge_38,Default tag table,Bool,%M14.1,Temp 38,True,True,True,,
Edge_39,Default tag table,Bool,%M14.2,Temp 39,True,True,True,,
Jog_Lift_2_BW,Default tag table,Bool,%M14.3,Trigger Jog Lift 2 BW,True,True,True,,
Edge_40,Default tag table,Bool,%M14.4,Temp 40,True,True,True,,
Edge_41,Default tag table,Bool,%M14.5,Temp 41,True,True,True,,
Run_Lift_2_FW,Default tag table,Bool,%M14.6,Trigger Run Lift 2 FW,True,True,True,,
Edge_42,Default tag table,Bool,%M14.7,Temp 42,True,True,True,,
Edge_43,Default tag table,Bool,%M15.0,Temp 43,True,True,True,,
Run_Lift_2_BW,Default tag table,Bool,%M15.1,Trigger Run Lifr 2 BW,True,True,True,,
